Date,Chl-a
1998-01-31,0.2438
1998-02-28,0.2268
1998-03-31,0.4722
1998-04-30,0.421
1998-05-31,0.7266
1998-06-30,0.4814
1998-07-31,0.513
1998-08-31,0.2896
1998-09-30,0.3984
1998-10-31,0.1936
1998-11-30,0.4995
1998-12-31,0.366
1999-01-31,
1999-02-28,0.2368
1999-03-31,0.3733
1999-04-30,0.5244
1999-05-31,0.577
1999-06-30,0.4597
1999-07-31,0.2966
1999-08-31,0.3806
1999-09-30,0.3435
1999-10-31,0.3752
1999-11-30,0.2642
1999-12-31,0.2651
2000-01-31,0.2026
2000-02-29,0.2808
2000-03-31,0.5527
2000-04-30,0.4785
2000-05-31,0.4463
2000-06-30,0.5186
2000-07-31,0.2805
2000-08-31,0.1462
2000-09-30,0.1121
2000-10-31,0.329
2000-11-30,0.29
2000-12-31,0.284
2001-01-31,0.1746
2001-02-28,0.1842
2001-03-31,0.355
2001-04-30,0.366
2001-05-31,0.526
2001-06-30,0.467
2001-07-31,0.2678
2001-08-31,0.1719
2001-09-30,0.154
2001-10-31,0.2695
2001-11-30,0.3293
2001-12-31,0.1885
2002-01-31,0.21
2002-02-28,0.207
2002-03-31,0.622
2002-04-30,0.5356
2002-05-31,0.4712
2002-06-30,0.3958
2002-07-31,0.295
2002-08-31,0.1521
2002-09-30,0.1284
2002-10-31,0.2417
2002-11-30,0.254
2002-12-31,0.264
2003-01-31,0.195
2003-02-28,0.2261
2003-03-31,0.7534
2003-04-30,0.7163
2003-05-31,0.4463
2003-06-30,0.2703
2003-07-31,0.2123
2003-08-31,0.1752
2003-09-30,0.1744
2003-10-31,0.1722
2003-11-30,0.3628
2003-12-31,0.3293
2004-01-31,0.314
2004-02-29,0.262
2004-03-31,0.4438
2004-04-30,0.8936
2004-05-31,0.869
2004-06-30,0.2405
2004-07-31,0.121
2004-08-31,0.1312
2004-09-30,0.1766
2004-10-31,0.2145
2004-11-30,0.2722
2004-12-31,0.219
2005-01-31,0.2123
2005-02-28,0.1868
2005-03-31,0.262
2005-04-30,0.809
2005-05-31,0.331
2005-06-30,0.2012
2005-07-31,0.1592
2005-08-31,0.1211
2005-09-30,0.1203
2005-10-31,0.1516
2005-11-30,0.2566
2005-12-31,0.2242
2006-01-31,0.1714
2006-02-28,0.2365
2006-03-31,0.3206
2006-04-30,0.4812
2006-05-31,0.4878
2006-06-30,0.2734
2006-07-31,0.1716
2006-08-31,0.127
2006-09-30,0.11884
2006-10-31,0.1576
2006-11-30,
2006-12-31,0.2722
2007-01-31,0.2184
2007-02-28,0.1976
2007-03-31,0.2927
2007-04-30,1.126
2007-05-31,0.7188
2007-06-30,0.4006
2007-07-31,0.2976
2007-08-31,0.2046
2007-09-30,0.2152
2007-10-31,0.166
2007-11-30,0.1924
2007-12-31,0.2307
2008-01-31,0.2083
2008-02-29,0.278
2008-03-31,0.284
2008-04-30,0.357
2008-05-31,0.6455
2008-06-30,0.2048
2008-07-31,0.1538
2008-08-31,0.1279
2008-09-30,0.1774
2008-10-31,0.1694
2008-11-30,
2008-12-31,0.2566
2009-01-31,0.2502
2009-02-28,0.178
2009-03-31,0.3972
2009-04-30,0.896
2009-05-31,0.408
2009-06-30,0.3264
2009-07-31,0.3088
2009-08-31,0.274
2009-09-30,0.2285
2009-10-31,0.2512
2009-11-30,0.3027
2009-12-31,0.2822
2010-01-31,0.1754
2010-02-28,0.2205
2010-03-31,0.3245
2010-04-30,0.4604
2010-05-31,0.458
2010-06-30,0.304
2010-07-31,0.1863
2010-08-31,0.1335
2010-09-30,0.1403
2010-10-31,0.217
2010-11-30,0.4429
2010-12-31,0.33
2011-01-31,0.3955
2011-02-28,0.293
2011-03-31,0.572
2011-04-30,1.752
2011-05-31,1.839
2011-06-30,0.588
2011-07-31,0.3945
2011-08-31,0.206
2011-09-30,0.2318
2011-10-31,0.2595
2011-11-30,0.3
2011-12-31,0.2045
2012-01-31,0.2617
2012-02-29,0.3218
2012-03-31,0.502
2012-04-30,0.293
2012-05-31,0.4167
2012-06-30,0.826
2012-07-31,0.709
2012-08-31,0.4004
2012-09-30,0.3147
2012-10-31,0.3896
2012-11-30,0.3975
2012-12-31,0.2037
2013-01-31,0.2751
2013-02-28,0.3403
2013-03-31,0.3203
2013-04-30,0.5796
2013-05-31,0.439
2013-06-30,0.662
2013-07-31,0.3752
2013-08-31,0.2288
2013-09-30,0.1812
2013-10-31,0.192
2013-11-30,0.348
2013-12-31,0.2812
2014-01-31,0.2429
2014-02-28,0.209
2014-03-31,0.3667
2014-04-30,0.7026
2014-05-31,0.11334
2014-06-30,0.4482
2014-07-31,0.2534
2014-08-31,0.2046
2014-09-30,0.1545
2014-10-31,0.2063
2014-11-30,0.522
2014-12-31,0.542
2015-01-31,0.3237
2015-02-28,0.286
2015-03-31,0.3398
2015-04-30,1.008
2015-05-31,0.252
2015-06-30,0.3855
2015-07-31,0.3726
2015-08-31,0.3723
2015-09-30,0.4028
2015-10-31,0.34
2015-11-30,0.4158
2015-12-31,0.351
2016-01-31,0.255
2016-02-29,0.3213
2016-03-31,0.2844
2016-04-30,0.4338
2016-05-31,0.546
2016-06-30,0.434
2016-07-31,0.2727
2016-08-31,0.2361
2016-09-30,0.4092
2016-10-31,0.326
2016-11-30,0.3926
2016-12-31,0.4033
2017-01-31,0.366
2017-02-28,0.3
2017-03-31,0.3489
2017-04-30,0.984
2017-05-31,1.108
2017-06-30,0.3496
2017-07-31,0.1814
2017-08-31,0.1302
2017-09-30,0.1876
2017-10-31,0.2297
2017-11-30,0.419
2017-12-31,0.3213
2018-01-31,0.2625
2018-02-28,0.271
2018-03-31,0.2917
2018-04-30,0.787
2018-05-31,1.117
2018-06-30,0.405
2018-07-31,0.266
2018-08-31,0.2568
2018-09-30,0.1957
2018-10-31,0.3965
2018-11-30,0.3975
2018-12-31,0.3274
2019-01-31,0.2815
2019-02-28,0.2805
2019-03-31,0.3518
2019-04-30,0.581
2019-05-31,0.672
2019-06-30,0.2009
2019-07-31,0.1719
2019-08-31,0.1421
2019-09-30,0.21
2019-10-31,0.2607
2019-11-30,0.3801
2019-12-31,0.3074
2020-01-31,0.3718
2020-02-29,0.2808
2020-03-31,0.4514
2020-04-30,1.177
2020-05-31,0.551
2020-06-30,0.3262
2020-07-31,0.267
2020-08-31,0.2327
2020-09-30,0.3523
2020-10-31,0.3496
2020-11-30,0.4832
2020-12-31,0.3687
